Latitude (X),Longitude(Y),Depth
-74.5288500,39.4963400,0.0000000
-74.5288700,39.4963400,0.0000000
-74.5288700,39.4963400,0.0000000
-74.5288800,39.4963500,0.0000000
-74.5288900,39.4963500,0.0000000
-74.5289000,39.4963600,0.0000000
-74.5289100,39.4963600,0.0000000
-74.5289200,39.4963600,0.0000000
-74.5289300,39.4963700,0.0000000
-74.5289400,39.4963700,0.0000000
-74.5289500,39.4963700,0.0000000
-74.5289500,39.4963900,0.0000000
-74.5289700,39.4963900,0.0000000
-74.5289700,39.4964100,0.0000000
-74.5289800,39.4964100,0.0000000
-74.5290100,39.4964100,0.0000000
-74.5290100,39.4964200,0.0000000
-74.5290200,39.4964300,0.0000000
-74.5290400,39.4964300,0.0000000
-74.5290500,39.4964300,0.0000000
-74.5290600,39.4964500,0.0000000
-74.5290800,39.4964600,0.0000000
-74.5291000,39.4964600,0.0000000
-74.5291100,39.4964800,0.0000000
-74.5291100,39.4964800,0.0000000
-74.5291100,39.4964900,0.0000000
-74.5291200,39.4964900,0.0000000
-74.5291300,39.4965000,0.0000000
-74.5291400,39.4965100,0.0000000
-74.5291500,39.4965200,0.0000000
-74.5291700,39.4965200,0.0000000
-74.5291700,39.4965200,0.0000000
-74.5291800,39.4965200,0.0000000
-74.5291700,39.4965200,0.0000000
-74.5291800,39.4965200,0.0000000
-74.5291900,39.4965300,0.0000000
-74.5292100,39.4965300,0.0000000
-74.5292100,39.4965500,0.0000000
-74.5292200,39.4965500,0.0000000
-74.5292400,39.4965600,0.0000000
-74.5292600,39.4965600,0.0000000
-74.5292700,39.4965700,0.0000000
-74.5292700,39.4965700,0.0000000
-74.5292800,39.4965800,0.0000000
-74.5293000,39.4965800,0.0000000
-74.5293000,39.4965800,0.0000000
-74.5293200,39.4965900,0.0000000
-74.5293200,39.4965900,0.0000000
-74.5293400,39.4966000,0.0000000
-74.5293400,39.4966200,0.0000000
-74.5293400,39.4966400,0.0000000
-74.5293600,39.4966500,0.0000000
-74.5293700,39.4966600,0.0000000
-74.5293700,39.4966700,0.0000000
-74.5293700,39.4966700,0.0000000
-74.5293700,39.4966900,0.0000000
-74.5293700,39.4967000,0.0000000
-74.5293700,39.4967200,0.0000000
-74.5293900,39.4967200,0.0000000
-74.5294000,39.4967300,0.0000000
-74.5294100,39.4967300,0.0000000
-74.5294200,39.4967400,0.0000000
-74.5294300,39.4967500,0.0000000
-74.5294300,39.4967600,0.0000000
-74.5294400,39.4967700,0.0000000
-74.5294500,39.4967800,0.0000000
-74.5294600,39.4967800,0.0000000
-74.5294700,39.4968000,0.0000000
-74.5294800,39.4968000,0.0000000
-74.5294900,39.4968100,0.0000000
-74.5295000,39.4968200,0.0000000
-74.5295100,39.4968300,0.0000000
-74.5295200,39.4968400,0.0000000
-74.5295200,39.4968500,0.0000000
-74.5295300,39.4968500,0.0000000
-74.5295400,39.4968600,0.0000000
-74.5295500,39.4968700,0.0000000
-74.5295600,39.4968700,0.0000000
-74.5295700,39.4968800,0.0000000
-74.5295800,39.4968800,0.0000000
-74.5295900,39.4968800,0.0000000
-74.5296100,39.4968800,0.0000000
-74.5296200,39.4968700,0.0000000
-74.5296400,39.4968700,0.0000000
-74.5296600,39.4968800,0.0000000
